ResourceTypeAcronym,ScenarioName,LinkInstanceName,LinkObjectType,ObjectTypeCV,StartEndNode,StartInstanceLong,StartLatitude_y,StartNodeObjectType,EndNodeInstance,EndStartInstanceLong,EndLatitude_y,EndNodeObjectType
WASH,base case scenario 2003,j29j27,DiversionExist,Diversion,j29,-111.86,41.6203,v,j27,-111.862,41.678,dem
WASH,base case scenario 2003,j29j28,DiversionExist,Diversion,j29,-111.86,41.6203,v,j28,-111.898,41.682,dem
WASH,base case scenario 2003,j29j44,DiversionExist,Diversion,j29,-111.86,41.6203,v,j44,-111.962,41.632,dem
WASH,base case scenario 2003,j29j24,envSiteExist,Stream,j29,-111.86,41.6203,v,j24,-111.946,41.7429,j
WASH,base case scenario 2003,j32j29,envSiteExist,Stream,j32,-111.821,41.5279,j,j29,-111.86,41.6203,v
WASH,base case scenario 2003,j41j29,returnFlowExist,Return flow,j41,-111.769,41.589,dem,j29,-111.86,41.6203,v
WASH,base case scenario 2003,j42j29,returnFlowExist,Return flow,j42,-111.822,41.599,dem,j29,-111.86,41.6203,v
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Dam,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Dam,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Hyrum Reservoir to Return Flow Node 4,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Dam,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Dam,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Hyrum Reservoir,-111.858,41.6222,Reservoir,Return Flow Node 4,-111.944,41.73282,Return Flow Node
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Blacksmith Fork to Hyrum Reservoir Inflow,-111.858,41.59038,Tributary Inflow,Hyrum Reservoir,-111.858,41.6222,Reservoir
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Blacksmith Fork to Hyrum Reservoir Inflow,-111.858,41.59038,Tributary Inflow,Hyrum Reservoir,-111.858,41.6222,Reservoir
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Blacksmith Fork to Hyrum Reservoir Inflow,-111.858,41.59038,Tributary Inflow,Hyrum Reservoir,-111.858,41.6222,Dam
WEAP,USU WEAP Model 2010,Little Bear River from Blacksmith Fork to Hyrum Reservoir Inflow to Hyrum Reservoir,River Reach,Stream,Blacksmith Fork to Hyrum Reservoir Inflow,-111.858,41.59038,Tributary Inflow,Hyrum Reservoir,-111.858,41.6222,Reservoir
