ResourceTypeAcronym,AttributeName,InstanceName,AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,YearType,YearMonth,TimeSeriesValueID,CountDays,CalenderYear,CumulativeMonthly
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2003,16855,31,2003-05-31,335.20661157
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2003,16885,30,2003-06-30,438.347107438
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2003,16916,31,2003-07-31,63.4710743802
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2003,16947,31,2003-08-31,93.2231404959
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2003,16977,30,2003-09-30,178.512396694
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2004,17008,31,2004-05-31,184.462809917
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2004,17038,30,2004-06-30,333.223140496
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2004,17069,31,2004-07-31,41.652892562
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2004,17100,31,2004-08-31,1.98347107438
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2004,17130,30,2004-09-30,638.67768595
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2005,17161,31,2005-05-31,307.438016529
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2005,17191,30,2005-06-30,297.520661157
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2005,17222,31,2005-07-31,317.355371901
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2005,17253,31,2005-08-31,307.438016529
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2005,17283,30,2005-09-30,368.925619835
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2006,17314,31,2006-05-31,454.214876033
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2006,17344,30,2006-06-30,485.950413223
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2006,17375,31,2006-07-31,323.305785124
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2006,17406,31,2006-08-31,222.148760331
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2006,17436,30,2006-09-30,293.553719008
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2007,17467,31,2007-05-31,660.495867769
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2007,17497,30,2007-06-30,604.958677686
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2007,17528,31,2007-07-31,73.3884297521
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2007,17559,31,2007-08-31,144.79338843
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2007,17589,30,2007-09-30,329.256198347
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2008,17620,31,2008-05-31,684.297520661
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2008,17650,30,2008-06-30,618.842975207
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2008,17681,31,2008-07-31,176.52892562
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2008,17712,31,2008-08-31,422.479338843
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2008,17742,30,2008-09-30,593.05785124
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2009,17773,31,2009-05-31,777.520661157
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2009,17803,30,2009-06-30,1400.33057851
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2009,17834,31,2009-07-31,317.355371901
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,08/2009,17865,31,2009-08-31,444.297520661
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,09/2009,17895,30,2009-09-30,81.3223140496
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,05/2010,17926,31,2010-05-31,565.289256198
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,06/2010,17956,30,2010-06-30,398.67768595
BearRiverCommission,DAILY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,day,cubic feet per second,WaterYear,07/2010,17987,31,2010-07-31,184.462809917
