ResourceTypeAcronym,ScenarioName,ObjectType,AttributeName,AttributeNameCV,InstanceName,InstanceNameCV,SeasonName,SeasonOrder,SeasonNumericValue
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Jan,1,580.925619835
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Feb,2,644.099173554
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Mar,3,624.363636364
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Apr,4,451.034710744
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",May,5,489.927548209
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Jun,6,666.049586777
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Jul,7,663.454545455
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Aug,8,796.26446281
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Sep,9,705.520661157
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Oct,10,720.925619835
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Nov,11,406.776859504
BearRiverWyoming,Bear Dry Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Dec,12,309.32231405
BearRiverWyoming,Bear Normal Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Jan,1,298.992605481
