ResourceTypeAcronym,ScenarioName,ObjectTypeCV,AttributeName_Abstract,AttributeNameCV,UnitName,InstanceName,SeasonName,SeasonOrder,SeasonNumericValue
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Oct,1, 208.23
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Nov,2, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Dec,3, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Jan,4, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Feb,5, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Mar,6, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Apr,7, 189.57
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,May,8, 1194.38
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Jun,9, 2284.59
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Jul,10, 2636
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Aug,11, 2384.45
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Highline Canal,Sep,12, 1173.18 
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Oct,1, 257.3597
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Nov,2, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Dec,3, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Jan,4, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Feb,5, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Mar,6, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Apr,7, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,May,8, 1698.8699
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Jun,9, 1973.315
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Jul,10, 1955.2147
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Aug,11, 1508.83598
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Hyrum Canal,Sep,12, 985.71377 
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Oct,1, 2846.042835
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Nov,2, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Dec,3, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Jan,4, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Feb,5, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Mar,6, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Apr,7, 1917.117399
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,May,8, 6156.816159
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Jun,9, 7733.151034
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Jul,10, 7994.078459
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Logan Irr,Aug,11, 7472.818654
