WASHObjectType,ObjectTypeCV,ObjectType,ResourceTypeAcronym,WASHAttributeName,AttributeNameCV,AttributeName_Abstract
dem,Demand site,Demand Site,WEAP,dReq,Demand,Monthly Demand
dem,Demand site,Flow Requirement,WEAP,dReq,Demand,Minimum Flow Requirement
dem,Demand site,Node,BearRiverWyoming,dReq,Demand,
v,Reservoir,Dam,US Major Dams,InitSTOR,Volume,
v,Reservoir,Reservoir,WEAP,InitSTOR,Volume,Initial Storage
v,Reservoir,Reservoir,WEAP,InitSTOR,Volume,Observed Volume
v,Reservoir,Reservoir,WEAP,InitSTOR,Volume,Volume-Curve
v,Reservoir,Reservoir Node,BearRiverWyoming,InitSTOR,Volume,
v,Reservoir,Reservoir,WEAP,RA_par,Reservoir bathymetry curve,Volume Elevation Curve
v,Reservoir,RESERVOIR EVAPORATION,WaDEData,evap,Evaporation,
v,Reservoir,Reservoir,WEAP,evap,Evaporation,Net Evaporation
v,Reservoir,Reservoir Node,BearRiverWyoming,evap,Evaporation,
v,Reservoir,Dam,US Major Dams,maxstor,Max_Volume,
v,Reservoir,Reservoir,WEAP,maxstor,Max_Volume,Storage Capacity
v,Reservoir,Reservoir,WEAP,minstor,Min_Volume,Top of Inactive
