WEAPObjectType,ObjectTypeCV,SourceObjectType,ResourceTypeAcronym,WEAPAttributeName,AttributeNameCV,SourceAttributeName,SourceInstanceName
Demand Site,Demand site,Node,BearRiverWyoming,Annual Activity Level,Demand,Historic Diversion outflow,Node 1.02
Demand Site,Demand site,Node,BearRiverWyoming,Annual Water Use Rate,Demand,Historic Diversion outflow,Node 1.02
Demand Site,Demand site,AGRICULTURAL IRRIGATION,WaDEData,Consumption,Depleted flow,Water Use /surface,Bear River Basin ag
Demand Site,Demand site,INDUSTRIAL,WaDEData,Consumption,Depleted flow,Water Use /surface,Bear River Basin I
Demand Site,Demand site,MUNICIPAL/DOMESTIC/STOCK,WaDEData,Consumption,Depleted flow,Water Use /surface,Bear River Basin M
Demand Site,Demand site,Node,BearRiverWyoming,Monthly Demand,Demand,Historic Diversion outflow,Node 1.02
Flow Requirement,Demand site,Node,BearRiverWyoming,Minimum Flow Requirement,Demand,Historic Diversion outflow,Node 1.02
Reservoir,Reservoir,Reservoir Node,BearRiverWyoming,Inflow,Flow,Historic Diversion outflow,Node 2.02
Reservoir,Reservoir,Reservoir Node,BearRiverWyoming,Inflow,Flow,Historic Diversion outflow,Node 6.01
Reservoir,Reservoir,Reservoir Node,BearRiverWyoming,Inflow,Flow,Import/Export net inflow,Node 2.02
Reservoir,Reservoir,Reservoir Node,BearRiverWyoming,Inflow,Flow,Import/Export net inflow,Node 6.01
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,BROADBENT ENLARGEMENT OF HEBER
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,DESERET - NEPONSET
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,LAKE VIVA NAUGHTON
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,MONTPELIER CREEK
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,SULPHUR CREEK
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,VIVA NAUGHTON
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,WHITNEY
Reservoir,Reservoir,Dam,US Major Dams,Initial Storage,Volume,NORMAL_STO,WOODRUFF NARROWS
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,Capacity,Barker Reservoir2
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,Capacity,Neponset Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,Capacity,Whitney Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,InitCap,Barker Reservoir2
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,InitCap,Neponset Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,InitCap,Whitney Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Barker Reservoir2
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Blue Lake2
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Boyer Lake
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Burts Miller Ranch Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Crane Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Dry Hollow Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Grassy Lake (Hatch)
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Joyce Lake
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Little Long Hill Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,McFarland Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Moore Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Moslander Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,Neponset Reservoir
Reservoir,Reservoir,Dam,UtahDams,Initial Storage,Volume,STORG_ACFT,North Reservoir
