,Reference,Cons25PercCacheUrbWaterUse,Incr25PercCacheUrbWaterUse
1966,2960.62844857,2960.62844857,2960.62844857
1967,0.0,0.0,47.3204311048
1968,0.0,0.0,662.740356162
1969,0.0,0.0,497.200850924
1970,582.604853577,112.292761467,1100.17681652
1971,0.0,0.0,0.0
1972,0.0,0.0,47.247466927
1973,0.0,0.0,47.4255805922
1974,0.0,0.0,227.033876457
1975,0.0,0.0,0.0
1976,291.382606313,0.0,808.510460631
1977,6875.07130222,4930.39728184,9418.07395649
1978,0.0,0.0,811.039074749
1979,960.869473572,490.434558429,2549.13934699
1980,0.0,0.0,46.7610390747
1981,5587.9616403,2943.58344913,8550.0593442
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,139.620764632
1986,0.0,0.0,0.0
1987,2973.6924414,1762.04662897,4188.64304465
1988,6708.37539583,4969.81804355,8587.21051462
1989,1981.52084911,837.548581982,4401.99840776
1990,6951.87882758,5213.0228086,8830.42468394
1991,3808.22565712,2733.39546098,5169.84406744
1992,8709.68469747,5702.85946613,11792.1925898
1993,230.251596699,0.0,642.51484821
1994,3709.95717813,2634.76921431,4925.58983431
1995,0.0,0.0,47.74200191
1996,921.464196478,0.0,2507.877618
1997,0.0,0.0,46.9718244774
1998,0.0,0.0,140.277442233
1999,0.0,0.0,140.593620337
2000,3275.939657,2201.15591472,4961.55055364
2001,3690.99030225,2616.08316943,5222.69818287
2002,3562.29592325,2487.47399638,4777.46023047
2003,3762.07759821,2687.21497355,5168.3081715
2004,3731.71006954,2656.84355345,5381.58173366
2005,0.0,0.0,47.3528596283
